site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
counterfactual_0001_01,sentinel2,NDVI,1.0,1.0,1.0,-0.2789129614830017,-0.19788962602615356,-0.06419932842254639,0.12031739950180054,0.25521397590637207,0.27860013724144694,0.047544358396235664
counterfactual_0001_01,sentinel1,VV,1.0,0.9996078815802373,0.9996078815802373,-5.358431816101074,-3.7134286880493166,0.1455516815185547,3.901348876953124,5.858444385528544,0.1754437579680298,0.03942335981170932
counterfactual_0001_02,sentinel2,NDVI,1.0,1.0,1.0,-0.1892082691192627,-0.06612318754196167,0.17339187860488892,0.28936392068862915,0.33811044692993164,0.028820703852563474,0.009704930889128516
counterfactual_0001_02,sentinel1,VV,1.0,0.9995098519752965,0.9995098519752965,-4.824760913848877,-3.106658697128296,0.7181177139282227,4.35081672668457,5.84507970809936,0.12191055315810122,0.023538642604943115
counterfactual_0001_03,sentinel2,NDVI,1.0,1.0,1.0,-0.18231308460235596,-0.11099839210510254,0.092043936252594,0.27923375368118286,0.38979971408843994,0.05803352612488972,0.005293598666797373
counterfactual_0001_03,sentinel1,VV,1.0,0.9991177335555338,0.9991177335555338,-5.638696908950806,-3.995665168762207,0.11574530601501465,3.8806764364242547,5.440469913482667,0.18936420722135008,0.049941130298273156
counterfactual_0001_04,sentinel2,NDVI,1.0,1.0,1.0,-0.26168936491012573,-0.1824098825454712,-0.022801220417022705,0.33094877004623413,0.38218021392822266,0.22978139398098227,0.034114302519360845
counterfactual_0001_04,sentinel1,VV,1.0,0.9998039407901186,0.9998039407901186,-5.756214265823364,-3.9197138786315917,0.2038593292236328,3.933121395111084,5.541723403930665,0.18217472301206,0.046573193450338266
counterfactual_0001_05,sentinel2,NDVI,1.0,1.0,1.0,-0.15672582387924194,-0.11034852266311646,0.024732470512390137,0.14482218027114868,0.2026432752609253,0.06734633859425547,0.0025487697284579942
counterfactual_0001_05,sentinel1,VV,1.0,0.9991177335555338,0.9991177335555338,-5.781234197616577,-4.014752388000488,0.04209756851196289,3.706373643875118,5.131145029067993,0.19319073783359497,0.05062794348508634
counterfactual_0001_06,sentinel2,NDVI,1.0,1.0,1.0,-0.1857837438583374,-0.13076269626617432,0.0892782211303711,0.28710299730300903,0.39497560262680054,0.10871483187922752,0.00803842760513675
counterfactual_0001_06,sentinel1,VV,1.0,0.9993137927654152,0.9993137927654152,-5.9800277519226075,-4.031569194793701,0.041907310485839844,3.802583169937134,5.2938690328598,0.19540906415538553,0.05130468903276437
counterfactual_0001_07,sentinel2,NDVI,1.0,1.0,1.0,-0.21216613054275513,-0.15522080659866333,-0.05927032232284546,0.04761463403701782,0.11024987697601318,0.21635133810410745,0.014116263111459661
counterfactual_0001_07,sentinel1,VV,1.0,0.9994118223703559,0.9994118223703559,-5.994303340911865,-3.928730726242065,-0.034928321838378906,3.567258644104003,5.183621597290036,0.19117214320745463,0.048062775870524765
counterfactual_0001_08,sentinel2,NDVI,1.0,1.0,1.0,-0.20183974504470825,-0.12324929237365723,-0.014941096305847168,0.15608513355255127,0.19939380884170532,0.09312812469365749,0.010685226938535438
counterfactual_0001_08,sentinel1,VV,1.0,1.0,1.0,-5.209441184997559,-3.498744010925293,0.4479818344116211,4.146867752075195,5.768816947937012,0.15096559160866582,0.030585236741495932
counterfactual_0001_09,sentinel2,NDVI,1.0,1.0,1.0,-0.26487529277801514,-0.19667834043502808,0.010646343231201172,0.27626335620880127,0.31901150941848755,0.23958435447505147,0.04656406234682874
counterfactual_0001_09,sentinel1,VV,1.0,0.9994118223703559,0.9994118223703559,-5.775828380584717,-3.8900876998901364,0.2459869384765625,4.186973762512207,5.760110912322996,0.17547817557626288,0.046199117214320747
counterfactual_0001_10,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.21607054948806761,-0.15162885189056396,0.055284321308135986,0.20470779240131373,0.3046013998985292,0.12465346534653465,0.01603960396039604
counterfactual_0001_10,sentinel1,VV,0.9900990099009901,0.9896088618762866,0.9896088618762866,-5.760965785980225,-3.8859928131103514,0.0678873062133789,3.73615961074829,5.332194480895987,0.1917781079742447,0.04596334819217435
counterfactual_0002_01,sentinel2,NDVI,1.0,1.0,1.0,-0.3250613510608673,-0.2179369330406189,-0.06560248136520386,0.13978850841522217,0.24254834651947021,0.30889128516812075,0.06518968728556024
counterfactual_0002_01,sentinel1,VV,1.0,0.9999019703950593,0.9999019703950593,-5.80840696811676,-4.165434455871582,-0.15983819961547852,3.6055823564529357,5.1339968824386615,0.22186274509803922,0.05745098039215686
counterfactual_0002_02,sentinel2,NDVI,1.0,1.0,1.0,-0.2681920528411865,-0.19964027404785156,-0.05463963747024536,0.06064027547836304,0.13116031885147095,0.28556023919223605,0.04989706891481227
counterfactual_0002_02,sentinel1,VV,0.9998039407901186,0.9996078815802373,0.9994118223703559,-5.691819477081299,-3.812018632888794,0.26175689697265625,4.061486768722532,5.802588119506826,0.17233938205002453,0.04325649828347229
counterfactual_0002_03,sentinel2,NDVI,1.0,1.0,1.0,-0.45285269618034363,-0.18376582860946655,-0.044560253620147705,0.07805401086807251,0.15137052536010742,0.20733261444956377,0.040976374865209296
