arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel2,treatment_0008,P01-08,counterfactual_0005_05,0.23844370242349877,10000.0,True,9.740871450233816e-08,0,-0.0,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0010_05,0.24411815278924243,10000.0,True,9.740871450233816e-08,0,-0.0,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0003_05,0.2066097627856592,10000.0,True,9.740871450233816e-08,0,-0.0,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0007_01,0.2000279328328887,10000.0,True,9.740871450233816e-08,0,-0.0,8
main,sentinel2,treatment_0008,P01-08,counterfactual_0002_04,0.11080044916871092,10000.0,True,9.740871450233816e-08,0,-0.0,8
main,sentinel2,treatment_0008,P01-09,counterfactual_0005_05,0.2293661849206931,0.0001,True,4.266491487800639e-07,0,-0.0,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0010_05,0.24495985297327658,0.0001,True,4.266491487800639e-07,0,-0.0,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0003_05,0.19460459824194679,0.0001,True,4.266491487800639e-07,0,-0.0,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0007_01,0.20560068420685476,0.0001,True,4.266491487800639e-07,0,-0.0,9
main,sentinel2,treatment_0008,P01-09,counterfactual_0002_04,0.12546867965722874,0.0001,True,4.266491487800639e-07,0,-0.0,9
main,sentinel2,treatment_0009,P01-08,counterfactual_0008_03,0.36650894715676063,0.0001,True,7.52840494042819e-08,0,-0.0,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0005_02,0.2673896815801617,0.0001,True,7.52840494042819e-08,0,-0.0,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0004_05,0.10894526129207698,0.0001,True,7.52840494042819e-08,0,-0.0,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0005_03,0.10772327519940934,0.0001,True,7.52840494042819e-08,0,-0.0,8
main,sentinel2,treatment_0009,P01-08,counterfactual_0009_03,0.14943283477159125,0.0001,True,7.52840494042819e-08,0,-0.0,8
main,sentinel2,treatment_0009,P01-09,counterfactual_0008_03,0.3538469459618012,0.0001,True,7.793349648568905e-08,0,-0.0,9
main,sentinel2,treatment_0009,P01-09,counterfactual_0005_02,0.3007993969559607,0.0001,True,7.793349648568905e-08,0,-0.0,9
main,sentinel2,treatment_0009,P01-09,counterfactual_0004_05,0.09198243456590909,0.0001,True,7.793349648568905e-08,0,-0.0,9
main,sentinel2,treatment_0009,P01-09,counterfactual_0005_03,0.09297681617012211,0.0001,True,7.793349648568905e-08,0,-0.0,9
main,sentinel2,treatment_0009,P01-09,counterfactual_0009_03,0.16039440634620683,0.0001,True,7.793349648568905e-08,0,-0.0,9
main,sentinel2,treatment_0010,P01-08,counterfactual_0004_04,0.5887023422847367,0.0001,True,2.2413205695365073e-07,0,-0.0,8
main,sentinel2,treatment_0010,P01-08,counterfactual_0006_03,0.14165201421397605,0.0001,True,2.2413205695365073e-07,0,-0.0,8
main,sentinel2,treatment_0010,P01-08,counterfactual_0002_02,0.16275327974927803,0.0001,True,2.2413205695365073e-07,0,-0.0,8
