method,sensor,site_id,ok,nmse_VV,nmse_VH,nmse_VV-VH,nmse10_VV,nmse10_VH,nmse10_VV-VH,joint_nmse,joint_nmse_p10var,selected_blocks,weights,her_stored_joint_nmse,nmse_B2,nmse_B3,nmse_B4,nmse_B8,nmse_B11,nmse_B12,nmse_NDVI,nmse_NDWI,nmse10_B2,nmse10_B3,nmse10_B4,nmse10_B8,nmse10_B11,nmse10_B12,nmse10_NDVI,nmse10_NDWI
holt_damped,sentinel2,treatment_0009,True,,,,,,,0.14549035310235775,0.14671777134481406,,,,0.1055333290361945,0.08465249034005323,0.13176418266270531,0.0010758690284627178,0.6398305575858078,0.18653597891032964,0.007945326186596536,0.006585091068712278,0.116215440950295,0.09451473159962198,0.1202178227812916,0.0011807458934195618,0.661281375405271,0.16628065375521814,0.007593826536463675,0.006457573836931487
ensemble,sentinel2,treatment_0009,True,,,,,,,0.33938251278553344,0.34317524751355427,,,,0.18677571341219593,0.3334974311269459,0.4932474901735231,0.19539064895455988,1.110638143956511,0.3612253963912059,0.023633509559503628,0.010651768709822491,0.20568120129669887,0.37235077273577694,0.4500247196371142,0.214437538642906,1.1478731528301889,0.32200112501509154,0.02258796779740568,0.010445502153252087
Kimi-K3-thinking-low [noguide],sentinel2,treatment_0009,True,,,,,,,0.2585304187427502,0.2567586524157768,,,,0.2509940196701646,0.03577502610437663,0.4566777658058517,0.01731996260766359,0.9147719749258884,0.30523089694233746,0.05018662576617185,0.03728707811954716,0.2763997017648429,0.039942912212528076,0.41665956262439785,0.019008331109224626,0.9454404179188666,0.27208688311149676,0.04796637942462867,0.03656503116022871
gpt-oss-120b [noguide],sentinel2,treatment_0009,True,,,,,,,0.35039773756458975,0.3646135137672085,,,,0.18677571341219593,0.45505782245036,0.1684405467300097,0.6124522612917137,1.0243707301232166,0.3420369085292277,0.002697409410141239,0.011350508569853196,0.20568120129669887,0.5080732743765984,0.153680274766381,0.6721547635486886,1.0587135567527757,0.3048962516019169,0.0025780765543638134,0.011130711240244685
Kimi-K3-thinking-low [anon],sentinel2,treatment_0009,True,,,,,,,0.24039579519841642,0.2473489051098131,,,,0.18677571341219593,0.14693239656144322,0.1684405467300097,0.2739513706565274,0.9147719749258884,0.20738057527820453,0.0004283161699945597,0.024485467853067603,0.20568120129669887,0.16405041326614433,0.153680274766381,0.3006564436207898,0.9454404179188666,0.1848618043276772,0.00040936754782807,0.024011318134119025
gpt-oss-120b [anon],sentinel2,treatment_0009,True,,,,,,,0.35014418238625866,0.3643648685672068,,,,0.18677571341219593,0.45505782245036,0.1684405467300097,0.6124522612917137,1.0243707301232166,0.3420369085292277,0.002697409410141239,0.009322067143204488,0.20568120129669887,0.5080732743765984,0.153680274766381,0.6721547635486886,1.0587135567527757,0.3048962516019169,0.0025780765543638134,0.009141549640231129
Kimi-K3-thinking-low [nocal],sentinel2,treatment_0009,True,,,,,,,0.20369154315969415,0.20508886712107388,,,,0.2509940196701646,0.0819277533193554,0.21482107787596036,0.049293024211699864,0.714172624235452,0.30523089694233746,0.011984590715988942,0.0011083583065945534,0.2763997017648429,0.09147255543733417,0.19599652764429032,0.054098160995822875,0.7381158177458184,0.27208688311149676,0.011454394806504183,0.0010868954624814772
gpt-oss-120b [nocal],sentinel2,treatment_0009,True,,,,,,,0.3270744831348932,0.33374174932556677,,,,0.2509940196701646,0.3334974311269459,0.2668350653565199,0.34068269676359264,0.9147719749258884,0.4650226563864358,0.002183673463364498,0.04260834738623347,0.2763997017648429,0.37235077273577694,0.24345258286904667,0.3738928108540243,0.9454404179188666,0.41452738376061776,0.0020870681836880163,0.041783256517670994
Kimi-K3-thinking-low [rule],sentinel2,treatment_0009,True,,,,,,,0.2382527683228788,0.24068013994335347,,,,0.2509940196701646,0.14693239656144322,0.2668350653565199,0.010295551542668067,0.9147719749258884,0.27051950420487014,0.04562928356819747,4.435075327872106e-05,0.2763997017648429,0.16405041326614433,0.24345258286904667,0.011299172931732009,0.9454404179188666,0.24114468573565012,0.043610653139016214,4.3491921528866264e-05
gpt-oss-120b [rule],sentinel2,treatment_0009,True,,,,,,,0.35014418238625866,0.3643648685672068,,,,0.18677571341219593,0.45505782245036,0.1684405467300097,0.6124522612917137,1.0243707301232166,0.3420369085292277,0.002697409410141239,0.009322067143204488,0.20568120129669887,0.5080732743765984,0.153680274766381,0.6721547635486886,1.0587135567527757,0.3048962516019169,0.0025780765543638134,0.009141549640231129
own_mean,sentinel2,treatment_0010,True,,,,,,,1.2764144930388104,1.1635353034929787,,,,0.13198440823434182,0.16071396386540313,2.8344660690400625,0.19304733424903328,0.7855891186118088,2.719675450625902,1.7504046587421742,1.6354349409417572,0.14631001222069245,0.17759228386082054,2.4177942911495696,0.21256186952426434,0.8120222279721303,2.342818087649569,1.6452263967581928,1.5539572588085915
