site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,n_donors,n_test_dims,w_max,arm,sensor,n_pred_positions
treatment_0005,P10,1.0685896291259571,1.0630277652197038,0.6310361403163858,1.0685387299854698,True,False,False,5.0,980.0,0.22364381569648623,A,sentinel1,
treatment_0006,P10,1.1072644072935163,1.0973454941159502,0.7707126846653085,1.1105193735098913,True,False,True,5.0,980.0,0.24912643293875456,A,sentinel1,
treatment_0007,P10,1.0779897641431575,1.0809433495369574,0.5941330248592782,1.0810567039725127,True,False,True,5.0,980.0,0.2352892665026873,A,sentinel1,
treatment_0008,P10,1.0593150454440154,1.0654241978035681,0.6646255426320433,1.0622186857152933,True,False,True,5.0,980.0,0.23869467389149635,A,sentinel1,
treatment_0009,P10,1.0640166065665664,1.0833003127286782,0.6793752218779436,1.0660937211251835,True,False,True,5.0,980.0,0.22820482294285616,A,sentinel1,
treatment_0010,P10,1.1008875038101513,1.123964025472038,0.6669206069308439,1.104761488515167,True,False,True,5.0,980.0,0.23330153530175812,A,sentinel1,
treatment_0001,P09,1.1130733973912272,1.1122927884523517,0.7330067786741923,1.1814932052452398,True,False,True,5.0,300.0,0.23148054368086232,B,sentinel1,
treatment_0002,P09,1.0708890708452725,1.0727065326054652,0.7213942690743355,1.0745478076324524,True,False,True,5.0,310.0,0.22701258036282979,B,sentinel1,
treatment_0003,P09,1.0867801932985126,1.0746100862648023,0.743235322796114,1.116874801701309,True,False,True,5.0,545.0,0.23448498638560827,B,sentinel1,
treatment_0004,P09,1.1217818133140613,1.14040325019168,0.6488096654148676,1.262495963352837,True,False,True,3.0,275.0,0.3797355188726344,B,sentinel1,
treatment_0005,P09,1.0562876375076284,1.0563940643373424,0.6642415369921404,1.1780228094317744,True,False,True,4.0,295.0,0.2878545736255315,B,sentinel1,
treatment_0006,P09,1.093017719525316,1.0818407331177746,0.7774994322144978,1.1048311762738456,True,False,True,5.0,735.0,0.21714233840140715,B,sentinel1,
treatment_0007,P09,1.0733191770396777,1.099866114312554,0.5847053290131708,1.1645731727999338,True,False,True,5.0,450.0,0.33157413945258507,B,sentinel1,
treatment_0008,P09,1.0886537836809405,1.0649114208071895,0.6428506730655584,1.1138029173186605,True,False,True,5.0,220.0,0.27126243488229745,B,sentinel1,
treatment_0009,P09,1.081003711699393,1.0749235719960586,0.663050711366829,1.1189711425615028,True,False,True,5.0,515.0,0.22256451632368165,B,sentinel1,
treatment_0010,P09,1.092616898288618,1.0923997095710785,0.6567508396324037,1.0931874778156203,True,False,True,5.0,390.0,0.26811434389121935,B,sentinel1,
treatment_0001,P10,1.159053614428158,1.1127611065521705,0.7227511443444575,1.138082712519525,True,False,False,5.0,300.0,0.22314419574004038,B,sentinel1,
treatment_0002,P10,1.0695919101975442,1.0728663101422349,0.7263415509992999,1.0993980362520557,True,False,True,5.0,310.0,0.22512893460112948,B,sentinel1,
treatment_0003,P10,1.0843444341201613,1.0763798603338597,0.7499124797055267,1.092883735641088,True,False,True,5.0,545.0,0.23856358189765686,B,sentinel1,
treatment_0004,P10,1.095098433757075,1.1387832741102022,0.6435291050464366,1.2427730407885529,True,False,True,3.0,275.0,0.3744726849518992,B,sentinel1,
treatment_0005,P10,1.0706686669750953,1.0567217470926158,0.6310361403163858,1.1691596215308175,True,False,True,4.0,295.0,0.28298812345432633,B,sentinel1,
treatment_0006,P10,1.129891604667708,1.0834936592024467,0.7707126846653085,1.1440942270383772,True,False,True,5.0,735.0,0.22079991484763767,B,sentinel1,
treatment_0007,P10,1.081846804821456,1.09475795215317,0.5941330248592782,1.1607851720887885,True,False,True,5.0,450.0,0.33088619523523854,B,sentinel1,
treatment_0008,P10,1.046267563818011,1.0679756482880733,0.6646255426320433,1.1069856194678758,True,False,True,5.0,220.0,0.26686956215394864,B,sentinel1,
treatment_0009,P10,1.0962074930779893,1.0760074803443582,0.6793752218779436,1.0961763733930179,True,False,False,5.0,515.0,0.22030480991349782,B,sentinel1,
treatment_0010,P10,1.0549783017185772,1.092840624493333,0.6669206069308439,1.1235212000184993,True,False,True,5.0,390.0,0.2669011290117164,B,sentinel1,
treatment_0001,P09,1.0882700931453722,1.081609544156085,0.7330067786741923,1.1285563710903377,True,False,True,5.0,245.0,0.23466833987684688,C,sentinel1,
treatment_0002,P09,1.1003804869780207,1.0690736232347475,0.7213942690743355,1.1458754679457746,True,False,True,5.0,300.0,0.23467192626061906,C,sentinel1,
treatment_0003,P09,1.0733806907429726,1.0702552386647537,0.743235322796114,1.1071593169200291,True,False,True,5.0,535.0,0.2216655426768077,C,sentinel1,
treatment_0004,P09,1.0910070745198286,1.1198133121145148,0.6488096654148676,1.2097611790040632,True,False,True,3.0,255.0,0.3433481254229227,C,sentinel1,
treatment_0005,P09,1.0424179368522457,1.0424063755834019,0.6642415369921404,1.1677387551722438,True,False,True,4.0,230.0,0.2765871797746764,C,sentinel1,
treatment_0006,P09,1.0607463420932255,1.075481927900457,0.7774994322144978,1.063343192939076,True,False,True,5.0,705.0,0.22405804463867274,C,sentinel1,
treatment_0007,P09,1.1631234475370364,1.1282226318154094,0.5847053290131708,1.1321664280548123,True,False,False,5.0,300.0,0.2558180723438897,C,sentinel1,
treatment_0008,P09,1.125092019582316,1.0198766772118528,0.6428506730655584,1.139890465614765,True,False,True,5.0,145.0,0.3264506141323479,C,sentinel1,
treatment_0009,P09,1.0432102030338781,1.0706565385616857,0.663050711366829,1.088346025948134,True,False,True,5.0,365.0,0.28266751277512325,C,sentinel1,
treatment_0010,P09,1.0709535511245696,1.0658638480040092,0.6567508396324037,1.114360758345447,True,False,True,5.0,390.0,0.2284945002197918,C,sentinel1,
treatment_0001,P10,1.0519378183229662,1.08278997252596,0.7227511443444575,1.1565137777442753,True,False,True,5.0,245.0,0.2380845941505296,C,sentinel1,
