cache,sensor,model,period,site,ratio
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0009,0.5198931658417255
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0010,0.4744111582069333
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0001,2.572509648293556
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0002,1.3683084786459538
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0003,0.4054732652326925
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0004,1.3075273828285543
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0005,0.6582126572527683
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0006,1.5082532772806494
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0008,1.1025357625665655
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0009,0.7627055187260908
chipmean,sentinel1,"SCM on 5 latent chip-means (=FSC, identity)",P10,treatment_0010,0.6263979585835365
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0001,1.386489065488336
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0002,1.3118309646008688
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0003,0.9499877079759932
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0004,0.9429118417611734
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0005,1.1353592072374223
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0006,0.9666190053882144
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0008,1.1048585578008348
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0009,0.8871437303546751
chipmean,sentinel1,FSC on hist+gram (115),P09,treatment_0010,0.8211169428721419
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0001,1.5492287383416423
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0002,1.2984862588257238
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0003,0.9375331256987156
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0004,1.3284060127889294
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0005,0.9182869793148024
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0006,1.3898620274959994
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0008,1.1013269487508073
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0009,0.9781968754407654
chipmean,sentinel1,FSC on hist+gram (115),P10,treatment_0010,0.9494624172787456
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0001,1.4666426582258056
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0002,1.3248973872285978
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0003,0.774246331472242
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0004,0.7763548812520963
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0005,0.9540291761157776
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0006,1.3183154183219168
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0008,0.862021158651252
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0009,0.5866347824528897
chipmean,sentinel1,FSC on Gram (15),P09,treatment_0010,0.5571029461657214
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0001,2.573908789635681
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0002,1.2459003025270443
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0003,0.4688901271335248
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0004,1.5707218476475269
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0005,0.5893659112319505
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0006,1.4775851897640726
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0008,1.1327165000592072
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0009,0.6312707896967419
chipmean,sentinel1,FSC on Gram (15),P10,treatment_0010,0.7490363977766484
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0001,1.3760175088620108
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0002,1.3051017838507066
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0003,0.9667549525701116
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0004,0.9478632085827428
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0005,1.155367801526475
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0006,0.9397633822118068
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0008,1.1194821156748682
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0009,0.908783552925748
chipmean,sentinel1,FSC on histogram (100),P09,treatment_0010,0.836335235790626
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0001,1.511034544763856
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0002,1.2996490504028697
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0003,0.9662065341787924
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0004,1.3139468842347752
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0005,0.9375417403694644
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0006,1.3845620212478813
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0008,1.0973961944171358
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0009,0.9996784765724184
chipmean,sentinel1,FSC on histogram (100),P10,treatment_0010,0.9590563863300108
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0001,0.2504223400036225
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0002,0.9459256492192596
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0003,0.2911363666897352
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0004,1.3374608640506676
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0005,1.1804959466895175
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0006,0.853604311605371
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0007,0.3139510090905275
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0008,0.7017350630702573
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0009,0.6409974598358527
chipmean,sentinel2,"SCM on 5 latent chip-means (=FSC, identity)",P09,treatment_0010,0.5041316416154845
