sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel2,treatment_0002,counterfactual_0015_06,6,tokenizer_latent_knn,8.802507400512695
sentinel2,treatment_0002,counterfactual_0020_10,7,tokenizer_latent_knn,8.818241119384766
sentinel2,treatment_0002,counterfactual_0003_06,8,tokenizer_latent_knn,8.83621597290039
sentinel2,treatment_0002,counterfactual_0024_07,9,tokenizer_latent_knn,8.885923385620117
sentinel2,treatment_0002,counterfactual_0016_02,10,tokenizer_latent_knn,8.904441833496094
sentinel2,treatment_0003,counterfactual_0024_08,1,tokenizer_latent_knn,7.163295745849609
sentinel2,treatment_0003,counterfactual_0025_09,2,tokenizer_latent_knn,7.207043647766113
sentinel2,treatment_0003,counterfactual_0017_02,3,tokenizer_latent_knn,7.227279186248779
sentinel2,treatment_0003,counterfactual_0006_09,4,tokenizer_latent_knn,7.379694938659668
sentinel2,treatment_0003,counterfactual_0017_07,5,tokenizer_latent_knn,7.423672199249268
sentinel2,treatment_0003,counterfactual_0012_08,6,tokenizer_latent_knn,7.460897922515869
sentinel2,treatment_0003,counterfactual_0007_06,7,tokenizer_latent_knn,7.471230506896973
sentinel2,treatment_0003,counterfactual_0024_10,8,tokenizer_latent_knn,7.510502815246582
sentinel2,treatment_0003,counterfactual_0024_06,9,tokenizer_latent_knn,7.530431270599365
sentinel2,treatment_0003,counterfactual_0019_10,10,tokenizer_latent_knn,7.5377044677734375
sentinel2,treatment_0004,counterfactual_0024_08,1,tokenizer_latent_knn,9.442946434020996
sentinel2,treatment_0004,counterfactual_0007_08,2,tokenizer_latent_knn,9.49734115600586
sentinel2,treatment_0004,counterfactual_0017_02,3,tokenizer_latent_knn,9.545930862426758
sentinel2,treatment_0004,counterfactual_0024_06,4,tokenizer_latent_knn,9.620022773742676
sentinel2,treatment_0004,counterfactual_0024_10,5,tokenizer_latent_knn,9.671170234680176
sentinel2,treatment_0004,counterfactual_0007_06,6,tokenizer_latent_knn,9.689484596252441
sentinel2,treatment_0004,counterfactual_0015_09,7,tokenizer_latent_knn,9.709362983703613
sentinel2,treatment_0004,counterfactual_0012_08,8,tokenizer_latent_knn,9.716255187988281
sentinel2,treatment_0004,counterfactual_0006_05,9,tokenizer_latent_knn,9.760321617126465
